Project,Symbol,Round,Total Raised,Pre-Valuation,Investors,Ecosystem,Categories,ROI,Date,Quarter Flag,source_url
LunaVerse,LUV,IDO on NFTpad,$12.32 M,$1.51 M,24,,Metaverse,0.02x,"Feb 3, 2022",0,https://icodrops.com/lunaverse/
Synesis One,SNS,IDO on StarLaunch,$550 K,$32.63 K,14,,DAO,0.01x,"Jan 31, 2022",0,https://icodrops.com/synesis-one/
Geojam,JAM,IDO on EnjinStarter,$5.62 M,$101.04 K,,,Social,0.01x,"Jan 31, 2022",0,https://icodrops.com/geojam/
Jones DAO,JONES,Public Sale Round 2,$29 M,$1.29 M,7,,DAO,0.01x,"Jan 29, 2022",0,https://icodrops.com/jones-dao/
Cheesus,CHEESUS,IDO Round 12,$2.2 M,$70.18 K,21,,Application,0.01x,"Jan 27, 2022",0,https://icodrops.com/cheesus/
Colony,CLY,Copper Auction,$11.16 M,$110.5 K,10,,DeFi,0.01x,"Jan 25, 2022",0,https://icodrops.com/colony/
CyberTrade,CCASH,Main Sale,—,$70 M,—,,Gaming,1x,"Jan 24, 2022",0,https://icodrops.com/cybertrade/
Bit Store,STORE,IDO on Gate.io,$50.06 M,$500 M,2,,InvestmentPlatform,—,"Jan 25, 2022",0,https://icodrops.com/bit-store/
Starly.io,STARLY,IDO,$7.58 M,$1.91 K,26,,NFT,0.01x,"Jan 14, 2022",0,https://icodrops.com/starly-io/
Merit Circle,MC,Binance Launchpool,$110.14 M,$10.9 M,7,,Gaming,0.01x,"Nov 2, 2021",0,https://icodrops.com/merit-circle/
ALL.ART,AART,IDO,$6.9 M,$1.35 M,19,,NFT,0.01x,"Dec 21, 2021",0,https://icodrops.com/allart/
Mobland,SYNR,Main Sale,—,$39.15 K,—,,Gaming,—,"Jan 20, 2022",0,https://icodrops.com/mobland/
Lootex,LOOT,IDO on Huobi Prime,$9.4 M,$77.19 K,13,,NFT,0.01x,"Jan 24, 2022",0,https://icodrops.com/lootex/
DeltaFi,DELFI,IDO on Solanium,$1 M,$5.41 K,,,DEX,0.01x,"Jan 21, 2022",0,https://icodrops.com/deltafi/
Tank Wars Zone,WBOND,IEO on MEXC Launchpad,$2.84 M,$20 M,19,,Gaming,1x,"Jan 23, 2022",0,https://icodrops.com/tank-wars-zone/
War Bond,WBOND,IDO on GamiWorld,$2.83 M,$130.5 K,1,,Gaming,0.01x,"Jan 21, 2022",0,https://icodrops.com/war-bond/
League of Kingdoms,LOKA,Binance Launchpad,$7.1 M,$402.9 K,4,,Gaming,0.01x,"Jan 12, 2022",0,https://icodrops.com/league-of-kingdoms/
Immunify.Life,IMM,IDO on TrustPad,$2.87 M,$22.5 M,9,,Blockchain Service,1.33x,"Jan 20, 2022",0,https://icodrops.com/immunify-life/
Vault Hill City,VHC,IDO on CoinX Pad,$4 M,$102.69 K,,,Metaverse,0.01x,"Jan 20, 2022",0,https://icodrops.com/vault-hill-city/
Sensorium,SENSO,IDO on Gate.io,$101.38 K,$2.17 M,—,,Entertainment,0.01x,"Jan 19, 2022",0,https://icodrops.com/sensorium/
GemUni,GENI,IDO on KrystalGO,$2.4 M,$7.51 K,4,,Gaming,0.01x,"Jan 19, 2022",0,https://icodrops.com/gemuni/
PsyOptions,PSY,IEO on Gate.io,$10.8 M,$12.53 K,6,,DeFi,0.01x,"Jan 18, 2022",0,https://icodrops.com/psyoptions/
GARI Network,GARI,IEO on Huobi,$103.97 M,$733.11 K,26,,DAO,0.01x,"Jan 18, 2022",0,https://icodrops.com/gari-network/
Deftify,DFTY,IDO on MoonStarter,$1.5 M,$20 M,7,,Platform,1x,"Jan 18, 2022",0,https://icodrops.com/deftify/
