Project,Symbol,Round,Total Raised,Pre-Valuation,Investors,Ecosystem,Categories,ROI,Date,Quarter Flag,source_url
Paradise Tycoon,MOANI,IDO on Avalaunch,$2 M,$15 M,4,,Gaming,—,"Aug 22, 2025",0,https://icodrops.com/paradise-tycoon/
RISE Chain,,Capital Launchpad,$7.2 M,—,12,,Blockchain,—,"Aug 18, 2025",0,https://icodrops.com/rise-chain/
XMAQUINA,DEUS,IDO on Impossible Finance,$10.31 M,$60 M,16,,Robotics,—,"Aug 12, 2025",0,https://icodrops.com/xmaquina/
Trusta Labs,TA,Airdrop,$3 M,$63.8 M,7,,Artificial Intellig…,0.45x,"Aug 21, 2025",0,https://icodrops.com/trusta-labs/
Emmet Finance,EMMET,IDO on Spores,—,$20 M,—,,DeFi,—,"Aug 18, 2025",0,https://icodrops.com/emmet-finance/
RICE AI,RICE,Binance Wallet Sale,$7 M,$3.04 M,4,,Infrastructure,0.41x,"Aug 18, 2025",0,https://icodrops.com/rice-ai/
Plume Network,PLUME,Binance HODLer Airdrops,$30 M,$104.6 M,15,,Blockchain,0.08x,"Aug 18, 2025",0,https://icodrops.com/plume-network/
AfriCred,IFT,IDO on Spores,—,$26 M,—,,Finance,—,"Aug 14, 2025",0,https://icodrops.com/africred/
PublicAI,PUBLIC,Binance Wallet Airdrop,$10 M,$15.35 M,12,,Big Data,0.22x,"Aug 15, 2025",0,https://icodrops.com/publicai/
Reveel,REVA,Binance Wallet Sale,$1.5 M,$10 M,7,,Blockchain Service,—,"Aug 14, 2025",0,https://icodrops.com/reveel/
Cherry AI,AIBOT,Binance Wallet Sale,—,—,—,,Social,—,"Aug 14, 2025",0,https://icodrops.com/cherry-ai/
Billions Network,,Capital Launchpad,$30 M,—,2,,Blockchain Service,—,"Aug 6, 2025",0,https://icodrops.com/billions-network/
Bitlayer,BTR,Binance Wallet Sale,$29 M,$31.6 M,43,,Layer-2,1.59x,"Aug 13, 2025",0,https://icodrops.com/bitlayer/
VOX,VOX,IDO on Fount,—,$1.72 M,—,,Trading,—,"Aug 10, 2025",0,https://icodrops.com/vox/
Suzaku,SUZ,IDO on Seedify,$1.5 M,$1.21 M,5,,Infrastructure,0.09x,"Aug 11, 2025",0,https://icodrops.com/suzaku/
Ten,TEN,ICM on Legion,$11.03 M,$30 M,12,,Blockchain Service,—,"Aug 5, 2025",0,https://icodrops.com/ten/
CHIPS,CHIPS,IDO on Polkastarter,—,$12 M,—,,GameFi,—,"Aug 11, 2025",0,https://icodrops.com/chips/
8x Capital,8x,IDO on Kommunitas,—,$10 M,—,,DeFi,—,"Aug 7, 2025",0,https://icodrops.com/8x-capital/
Verdra,VERDRA,IDO on Spores,—,$8 M,—,,RWA (Real World Ass…,—,"Aug 4, 2025",0,https://icodrops.com/verdra/
Towns,TOWNS,Binance HODLer Airdrops,$61 M,$39.02 M,1,,Social,0.05x,"Aug 5, 2025",0,https://icodrops.com/towns/
Succinct,PROVE,Binance Alpha,$55 M,$266.9 M,8,,Infrastructure,0.43x,"Aug 5, 2025",0,https://icodrops.com/succinct/
OneFootball,OFC,Public Sale on CoinList,$320 M,$50 M,6,,Football,—,"Jul 24, 2025",0,https://icodrops.com/onefootball/
Treehouse,TREE,Binance HODLer Airdrops,$18 M,$59.66 M,25,,Liquid Staking Toke…,—,"Jul 29, 2025",0,https://icodrops.com/treehouse/
Ulalo,ULA,IDO on Fount,$158.76 K,$12 M,—,,Healthcare,—,"Jul 27, 2025",0,https://icodrops.com/ulalo/
Delphinus Lab,ZKWASM,Launchpool on Gate.io,—,$3.4 M,,,Infrastructure,0.05x,"Jul 22, 2025",0,https://icodrops.com/delphinus-lab/
Delabs Games,DELABS,Binance Wallet Sale,$9.9 M,$4.5 M,9,,Gaming,0.08x,"Jul 28, 2025",0,https://icodrops.com/delabs-games/
AgentXYZ,TRADER,IDO on Seedify,$445 K,$2.5 M,3,,AI Agents,—,"Jul 24, 2025",0,https://icodrops.com/agentxyz/
Aspecta,ASP,IDO on Aspecta,$3.5 M,$2.57 M,18,,Blockchain Service,0.87x,"Jul 21, 2025",0,https://icodrops.com/aspecta/
Grand Gangsta City,GGC,IDO on Coin Terminal,—,$6 M,—,,GameFi,—,"Jul 18, 2025",0,https://icodrops.com/grand-gangsta-city/
TAIX AI,TAIX,IDO on Seedify,$51.65 K,$1 M,—,,Social,—,"Jul 21, 2025",0,https://icodrops.com/taix-ai/
Dante Games,DANTE,IDO on Spores,$21.05 M,$16 M,,,GameFi,—,"Jul 18, 2025",0,https://icodrops.com/dante-games/
Caldera,ERA,Binance HODLer Airdrops,$24 M,$124 M,7,,Infrastructure,—,"Jul 17, 2025",0,https://icodrops.com/caldera/
Soulbound,SBX,IDO on GameFi,$7.6 M,—,12,,Gaming,—,"Jul 16, 2025",0,https://icodrops.com/soulbound/
t3rn,TRN,IDO on Eesee,$7.85 M,$213.4 K,6,,Infrastructure,0.01x,"Jul 15, 2025",0,https://icodrops.com/t3rn/
Hyperion,RION,Binance Wallet Sale,—,—,3,,DeFi,—,"Jul 16, 2025",0,https://icodrops.com/hyperion/
Catex,CATX,IDO on Fount,—,$10 M,—,,DeFi,—,"Jul 14, 2025",0,https://icodrops.com/catex/
HAiO,HAIO,IDO on Huostarter,—,$30 M,—,,Blockchain Service,—,"Jul 13, 2025",0,https://icodrops.com/haio/
Pump.fun,PUMP,Public Sale,$1.32 B,$1.71 B,—,,Launchpad,0.43x,"Jul 12, 2025",0,https://icodrops.com/pumpfun/
Tren Finance,TREN,IDO on CastrumPad,—,$10 M,4,,DeFi,—,"Jul 6, 2025",0,https://icodrops.com/tren-finance/
Velvet Capital,VELVET,Binance Wallet Sale,$3.7 M,$83.36 M,13,,DeFAI,—,"Jul 10, 2025",0,https://icodrops.com/velvet-capital/
Lagrange,LA,Binance HODLer Airdrops,$17.2 M,$176.8 M,10,,Infrastructure,0.86x,"Jul 9, 2025",0,https://icodrops.com/lagrange/
Boom,BOOM,Binance Wallet Sale,—,—,—,,Infrastructure,—,"Jul 8, 2025",0,https://icodrops.com/boom/
Palio,PAL,Binance Wallet Sale,—,—,—,,GameFi,—,"Jul 7, 2025",0,https://icodrops.com/palio/
Pipe Network,PIPE,Public Sale Option 2,$10 M,$21.13 M,,,Blockchain Service,0.11x,"Jun 26, 2025",0,https://icodrops.com/pipe-network/
GG3,GGX,IDO on Eesee,—,$40 M,—,,GameFi,—,"Jul 1, 2025",0,https://icodrops.com/gg3/
Fragmetric,FRAG,Airdrop,$12 M,$2.04 M,22,,Liquid Restaking To…,—,"Jul 1, 2025",0,https://icodrops.com/fragmetric/
Anoma,XAN,Testnet Airdrop,$60.25 M,$97.23 M,23,,Infrastructure,0.06x,"Jul 1, 2025",0,https://icodrops.com/anoma/
NodeOps,NODE,Binance Wallet Sale,$5 M,$8.54 M,7,,Infrastructure,0.2x,"Jun 30, 2025",0,https://icodrops.com/nodeops/
EternalMoon,ETM,IDO on TrustFi,—,—,—,,RWA (Real World Ass…,—,"Jun 26, 2025",0,https://icodrops.com/eternalmoon/
Resolv,RESOLV,Incentivized Activities,$10.6 M,$43.19 M,5,,Stablecoin Issuer,0.02x,"Jun 27, 2025",0,https://icodrops.com/resolv/
Descipher,DESCI,IDO on Seedify,—,—,—,,Blockchain Service,—,"Jun 25, 2025",0,https://icodrops.com/descipher/
Sahara,SAHARA,Binance HODLer Airdrops,$51.5 M,$260.7 M,16,,Artificial Intellig…,0.43x,"Jun 26, 2025",0,https://icodrops.com/sahara-2/
Xociety,XO,Megadrop on Bybit,$7.5 M,$723 K,3,,Gaming,0.02x,"Jun 20, 2025",0,https://icodrops.com/xociety/
Newton,NEWT,Binance HODLer Airdrops,—,$71.44 M,—,,Infrastructure,0.12x,"Jun 24, 2025",0,https://icodrops.com/newton/
Airas,AIRAS,IDO on Finceptor,—,$10 M,—,,Blockchain Service,—,"Jun 22, 2025",0,https://icodrops.com/airas/
League of Traders,LOT,Binance Wallet Sale,$2.4 M,$7.02 M,2,,DeFi,0.21x,"Jun 20, 2025",0,https://icodrops.com/league-of-traders/
Rank Trading,RAN,IDO on Kommunitas,—,$2 M,—,,DeFi,—,"Jun 19, 2025",0,https://icodrops.com/rank-trading/
Bombie,BOMB,Binance Wallet Sale,—,$171.8 K,—,,Gaming,—,"Jun 17, 2025",0,https://icodrops.com/bombie/
SparkFi,SPK,Binance HODLer Airdrops,—,$204.5 M,—,,DeFi,0.27x,"Jun 17, 2025",0,https://icodrops.com/sparkfi/
THE P33L,P33L,IDO on Seedify,—,$250 K,—,,Memecoin,—,"Jun 16, 2025",0,https://icodrops.com/the-p33l/
EstateX,ESX,IDO on Eesee,—,$5.59 M,,,Real Estate,0.27x,"Jun 14, 2025",0,https://icodrops.com/estatex/
Anazir,ANZ,IDO on Spores,$324 K,$4.5 M,—,,GameFi,—,"Jun 12, 2025",0,https://icodrops.com/anazir/
KAI Battle of Three Kingdoms,SGC,Binance Wallet Sale,—,—,—,,GameFi,—,"Jun 13, 2025",0,https://icodrops.com/kai-battle-of-three-kingdoms/
DeFi.app,HOME,Binance HODLer Airdrops,$4 M,$191.4 M,3,,DeFi,—,"Jun 12, 2025",0,https://icodrops.com/defi-app/
MEET48,IDOL,Binance Wallet Sale,—,$114.77 M,5,,Gaming,—,"Jun 11, 2025",0,https://icodrops.com/meet48/
Fusio,FUSIO,IDO on Huostarter,—,$7 M,—,,Blockchain Service,—,"Jun 8, 2025",0,https://icodrops.com/fusio/
Seraph,SERAPH,Binance Airdrop,—,—,—,,GameFi,—,"Jun 9, 2025",0,https://icodrops.com/seraph/
CUDIS,,Binance Wallet Sale,$5 M,$7.83 M,6,,Blockchain Service,0.01x,"Jun 5, 2025",0,https://icodrops.com/cudis/
Hasbulla,BULLA,IDO on Aspecta,$20 M,$5.55 M,—,,Meme,0.03x,"Jun 4, 2025",0,https://icodrops.com/hasbulla/
Bondex,BDXN,Binance Airdrop,$10.5 M,$2.59 M,1,,Web 3.0,0.03x,"Jun 3, 2025",0,https://icodrops.com/bondex/
GOAT Network,,IDO on Aspecta,$5 M,—,6,,Layer-2,0.17x,"Jun 3, 2025",0,https://icodrops.com/goat-network/
Soul Labs,,Public Sale,$5.96 M,—,—,,DeFi,—,"Jun 3, 2025",0,https://icodrops.com/soul-labs/
SharpLink,,Post-IPO,$825 M,—,13,,Sport,—,"Jun 2, 2025",0,https://icodrops.com/sharplink/
0xFútbol,FUTBOL,SHO on DAO Maker,—,$16.2 M,—,,GameFi,—,"May 27, 2025",0,https://icodrops.com/0xfutbol/
Aiki,AIKI,IDO on Seedify,—,—,—,,DeFi,—,"May 29, 2025",0,https://icodrops.com/aiki/
Akarun,AKA,IDO on Fount,—,—,—,,GameFi,—,"May 28, 2025",0,https://icodrops.com/akarun/
Sophon,SOPH,Binance HODLer Airdrops,$84.01 M,$83.91 M,11,,Neobank,1.15x,"May 28, 2025",0,https://icodrops.com/sophon/
Elderglade,ELDE,Binance Wallet Sale,$2 M,$84.44 K,—,,Gaming,0.01x,"May 27, 2025",0,https://icodrops.com/elderglade/
Puffverse,PFVS,IEO on Gate.io,$3 M,$437.5 K,3,,Gaming,0.01x,"May 27, 2025",0,https://icodrops.com/puffverse/
DelNorte Terra Vision,DTV,IDO on KingdomStarter,—,—,—,,RWA (Real World Ass…,—,"May 26, 2025",0,https://icodrops.com/delnorte-terra-vision/
Raiinmaker,COIIN,IDO on Spores,$12.64 M,$170.6 K,15,3,Artificial Intellig…,0.01x,"May 24, 2025",0,https://icodrops.com/raiinmaker/
Huma Finance,HUMA,Binance Launchpool,$46.3 M,$160.8 M,12,,DeFi,0.01x,"May 23, 2025",0,https://icodrops.com/huma-finance/
NOI Exchange,NOI,IDO on Spores,—,—,—,,DeFi,—,"May 23, 2025",0,https://icodrops.com/noi-exchange/
FanX,FX,IDO on BSCS,—,$10 M,—,,DeFi,—,"May 23, 2025",0,https://icodrops.com/fanx/
Tordess,TDS,IDO on Spores,$750 K,$7.4 K,—,,Blockchain Service,0.01x,"May 21, 2025",0,https://icodrops.com/tordess/
Allo.xyz,ALLO,Binance Wallet Sale,$102.2 M,$18.96 M,,,DeFi,1.9x,"May 22, 2025",0,https://icodrops.com/alloxyz/
SOON,SOON,OKX Cryptopedia Unlock,$27 M,$111.6 M,27,,Blockchain Service,0.22x,"May 21, 2025",0,https://icodrops.com/soon/
Stabble,STB,Public Sale,$3.03 M,$596 K,6,,DEX,0.04x,"May 19, 2025",0,https://icodrops.com/stabble/
AI Dev Agent,AIDEV,IDO on Polkastarter,—,—,—,,Artificial Intellig…,—,"May 20, 2025",0,https://icodrops.com/ai-dev-agent/
Iceberg,ICEBERG,SHO on DAO Maker,—,—,—,,Blockchain Service,—,"May 11, 2025",0,https://icodrops.com/iceberg/
Stabull,STABUL,IEO on ProBit,$2.1 M,—,—,,DEX,—,"May 7, 2025",0,https://icodrops.com/stabull/
aiSUI,SUIAGENT,IDO on Coin Terminal,$351 K,—,—,,AI Agents,—,"May 8, 2025",0,https://icodrops.com/aisui/
Nexpace,NXPC,Airdrop,$100 M,$271.51 M,,,Blockchain,0.11x,"May 15, 2025",0,https://icodrops.com/nexpace/
Privasea,PRAI,Binance Wallet Sale,$9.75 M,$1.61 M,12,,Artificial Intellig…,0.04x,"May 14, 2025",0,https://icodrops.com/privasea/
N1 (ex Layer N),,Public Sale,$7 M,—,8,,Infrastructure,—,"May 14, 2025",0,https://icodrops.com/layer-n/
Hydro: The RWA DePIN Protocol,SUIRWAPIN,IDO on Polkastarter,$2.43 M,$2.13 K,,,Real World Assets P…,0.01x,"May 13, 2025",0,https://icodrops.com/hydro-the-rwa-depin-protocol/
GamersXP,GMXP,IDO on KingdomStarter,$176 K,$20 M,—,,GameFi,—,"May 11, 2025",0,https://icodrops.com/gamersxp/
Haedal,HAEDAL,Launchpool on Bybit,—,$29.71 M,7,,Liquid Staking Prot…,0.21x,"May 2, 2025",0,https://icodrops.com/haedal/
Doodles,,Airdrop,$54 M,$30.7 M,1,,NFT,0.34x,"May 9, 2025",0,https://icodrops.com/doodles/
Space and Time,SXT,Airdrop,$50 M,$81.05 M,25,,Blockchain Service,—,"May 8, 2025",0,https://icodrops.com/space-and-time/
Fleek,FLK,Public Sale,$35 M,$3.57 M,1,,AI Agents,0.05x,"May 1, 2025",0,https://icodrops.com/fleek/
Shardeum,SHM,IDO on Tokensoft,$31.72 M,$3.6 M,27,,Infrastructure,0.01x,"Mar 20, 2025",0,https://icodrops.com/shardeum/
HashBurn,HBURN,IDO on Huostarter,—,$499.8 K,—,,GameFi,—,"May 2, 2025",0,https://icodrops.com/hashburn/
Mage Labs,WIZDOG,IDO on Spores,$180 K,$9 M,,,GameFi,—,"May 1, 2025",0,https://icodrops.com/mage-labs/
StakeStone ETH,STONE,Airdrop,$33 M,$98.51 M,18,,Liquid Staking Prot…,4.86x,"May 2, 2025",0,https://icodrops.com/stakestone-eth/
AIVA,AIVA,IDO on Seedify,—,—,—,,memecoin,—,"Apr 30, 2025",0,https://icodrops.com/aiva/
B2 Network,,Binance Wallet Sale,$300 K,$160.25 M,15,,Layer-2,10.54x,"Apr 30, 2025",0,https://icodrops.com/b2-network/
Lunch Protocol,LUNCH,Public Sale,—,$10 M,—,,DeFAI,—,"Apr 24, 2025",0,https://icodrops.com/lunch-protocol/
MilkyWay,MILK,Binance Wallet Sale,$5 M,$547.4 K,9,,DeFi,—,"Apr 29, 2025",0,https://icodrops.com/milkyway-2/
Blink Game AI,BLINK,IDO on Poolz,—,—,—,,Play-To-Earn,—,"Apr 28, 2025",0,https://icodrops.com/blink-game-ai/
FNT Crypto,FNTIO,IDO on BSCS,—,—,—,,DeFi,—,"Apr 28, 2025",0,https://icodrops.com/fnt-crypto/
Sign,SIGN,Airdrop,$54.15 M,$315.4 M,34,,Infrastructure,0.51x,"Apr 28, 2025",0,https://icodrops.com/sign-2/
Grafilab,GRAFI,IDO on Spores,$50 K,—,—,,Infrastructure,—,"Apr 25, 2025",0,https://icodrops.com/grafilab/
Initia,INIT,Binance Launchpool,$24 M,$82.28 M,13,,Blockchain,0.12x,"Apr 18, 2025",0,https://icodrops.com/initia/
Cryptaine,CRY,IDO on BSCS,$1.01 M,—,—,,Blockchain Service,—,"Apr 22, 2025",0,https://icodrops.com/cryptaine/
Zora,,Possible Retrodrop,$60 M,$149.8 M,3,1,Layer-2,—,"Apr 23, 2025",0,https://icodrops.com/zora/
Hyperlane,,Binance Wallet Sale,$18.5 M,$85.14 M,6,,Protocol,2.84x,"Apr 22, 2025",0,https://icodrops.com/hyperlane/
DoubleZero,2Z,Public Sale,$28 M,$712.4 M,6,,Infrastructure,0.1x,"Apr 2, 2025",0,https://icodrops.com/doublezero/
Lucky Kat,KOBAN,SHO on DAO Maker,—,—,—,,GameFi,—,"Apr 16, 2025",0,https://icodrops.com/lucky-kat/
Lorenzo Protocol,BANK,Binance Wallet Sale,$200 K,$17.81 M,—,,Protocol,8.71x,"Apr 18, 2025",0,https://icodrops.com/lorenzo-protocol/
WalletConnect,WTC,Binance Launchpool,$46.25 M,$56.62 M,17,,Wallet,0.28x,"Apr 11, 2025",0,https://icodrops.com/walletconnect/
Kernel,KERNEL,Airdrop,$10 M,$90.57 M,14,,Liquid Staking Prot…,—,"Apr 9, 2025",0,https://icodrops.com/kernel/
Polyverse,PTC,IDO on Spores,—,—,—,,GameFi,—,"Apr 11, 2025",0,https://icodrops.com/polyverse/
Babylon,,Airdrop,$108.3 M,$136.17 M,21,,Blockchain,0.14x,"Apr 10, 2025",0,https://icodrops.com/babylon/
Mint,,Airdrop,$5 M,$151.9 K,9,,Layer-2,—,"Jan 10, 2024",0,https://icodrops.com/mint/
Mind Network,,Binance Wallet Sale,$13.25 M,$18.23 M,16,,Blockchain Service,1.18x,"Apr 10, 2025",0,https://icodrops.com/mind-network/
Arcadia Finance,AAA,Public Sale,—,$2.56 M,—,,DeFi,0.1x,"Apr 3, 2025",0,https://icodrops.com/arcadia-finance/
PumpBTC,PUMP,Launchpool on Bybit,$10 M,$15.66 M,7,,Liquid Staking Prot…,1.04x,"Apr 1, 2025",0,https://icodrops.com/pumpbtc/
Aiden Labs,ADN,IDO on Spores,—,$100 M,—,,Artificial Intellig…,—,"Apr 4, 2025",0,https://icodrops.com/aiden-labs/
Xcavate,XCAV,Pre TGE,—,—,—,,Infrastructure,—,"Mar 20, 2025",0,https://icodrops.com/xcavate/
Skate (Range Protocol),,ICM on Legion,$4.75 M,$2.23 M,4,,DeFi,0.02x,"Mar 25, 2025",0,https://icodrops.com/skate/
BurrBear,BURR,Public Sale,—,$44 M,—,,DeFi,—,"Mar 31, 2025",0,https://icodrops.com/burrbear/
Arcium (Elusiv),,Public Sale,$10 M,$200 M,37,,Blockchain Service,—,"Mar 24, 2025",0,https://icodrops.com/arcium/
Stable Jack,JACK,Public Sale,$1.3 M,$20 M,—,,DeFi,—,"Mar 26, 2025",0,https://icodrops.com/stable-jack/
Domin Network,DOMIN,IDO on KingdomStarter,—,$20 K,8,,Infrastructure,0.01x,"Mar 31, 2025",0,https://icodrops.com/domin-network/
Kibble,KIB,IDO on KingdomStarter,$1.74 M,$1.86 M,—,,DeFi,0.11x,"Mar 30, 2025",0,https://icodrops.com/kibble/
GUNZ,GUN,Binance Launchpool,$101 M,$174.2 M,22,,Blockchain,0.17x,"Mar 28, 2025",0,https://icodrops.com/gunz/
Overlay,OVL,ICM on Legion,$2.9 M,$2.14 M,3,,Perpetual,0.09x,"Mar 20, 2025",0,https://icodrops.com/overlay/
Genezys,GNZ,IDO on Kommunitas,—,—,—,,Social,—,"Mar 27, 2025",0,https://icodrops.com/genezys/
KiloEx,,Binance Wallet Sale,$750 K,$6.28 M,3,,DEX,0.42x,"Mar 27, 2025",0,https://icodrops.com/kiloex/
Particle Network,,IDO on PancakeSwap,$25.05 M,$100.9 M,20,,Modular Blockchain,4x,"Mar 25, 2025",0,https://icodrops.com/particle-network/
Nillion,NIL,Binance Launchpool,$45 M,$33.18 M,9,,Infrastructure,0.09x,"Mar 21, 2025",0,https://icodrops.com/nillion/
Slingshot,SLING,Presale,$20.59 M,$8.85 K,7,,Gaming,—,"Mar 18, 2025",0,https://icodrops.com/slingshot-2/
Pell Network,,Launchpool on Bybit,$6.5 M,$831.39 K,16,,DeFi,0.02x,"Mar 13, 2025",0,https://icodrops.com/pell-network/
Skald AI,SKALD,IDO on Eesee,—,$2 M,—,,AI Agents,—,"Mar 18, 2025",0,https://icodrops.com/skald-ai/
Bubblemaps,BMT,Airdrop,$3.2 M,$14.52 M,6,,Blockchain Service,0.74x,"Mar 18, 2025",0,https://icodrops.com/bubblemaps/
Eventflo,FLOCO,IDO on Poolz,$20 M,—,,,Social,—,"Mar 17, 2025",0,https://icodrops.com/eventflo/
iAgent,AGNT,SHO on DAO Maker,$3.05 M,$113.5 K,7,,AI Agents,0.01x,"Mar 11, 2025",0,https://icodrops.com/iagent/
Functionland,FULA,IDO on Red Kite,$100 K,—,12,,Artificial Intellig…,—,"Mar 16, 2025",0,https://icodrops.com/functionland/
World Liberty Financial,WLFI,Initial Sale,$715 M,$9.88 B,2,,DeFi,6.56x,"Oct 15, 2024",0,https://icodrops.com/world-liberty-financial/
ZkLink,ZKL,Points Farming,$23.19 M,$831.2 K,16,,Multi-Chain Platform,0.01x,"Mar 14, 2024",0,https://icodrops.com/zklink/
Kayen Protocol,KAYEN,SHO on DAO Maker,—,$370.48 K,—,,Multi-Chain Platform,0.04x,"Mar 3, 2025",0,https://icodrops.com/kayen-protocol/
GoPlus Security,GPS,Airdrop,$10 M,$76.71 M,23,,Blockchain Service,—,"Mar 4, 2025",0,https://icodrops.com/goplus-security/
Obol Labs,Obol,Public Sale,$20.5 M,$7.1 M,34,,DeFi,0.06x,"Feb 24, 2025",0,https://icodrops.com/obol-labs/
Portal,,Testnet,$117.5 M,$9.72 M,26,,Infrastructure,—,"Feb 2, 2025",0,https://icodrops.com/portal/
Hyperbridge,BRIDGE,Initial Relayer Offering,$5.35 M,$5.5 M,,,Multi-Chain Platform,0.11x,"Dec 5, 2024",0,https://icodrops.com/hyperbridge/
RedStone,RED,Binance Launchpool,$22 M,$110.8 M,42,,Oracle,0.28x,"Feb 26, 2025",0,https://icodrops.com/redstone/
PAIN,PAIN,Launchpool,$38 M,$12.16 M,—,,Meme,0.06x,"Feb 22, 2025",0,https://icodrops.com/pain/
Glunity,GLUN,IDO on Huostarter,—,$4 M,—,,Blockchain Service,—,"Feb 24, 2026",0,https://icodrops.com/glunity/
MyShell,SHELL,Airdrop,$16.6 M,$28.03 M,14,,Blockchain Service,0.1x,"Feb 27, 2025",0,https://icodrops.com/myshell/
StrikeBit AI,STRIKE,IDO on Huostarter,$1.6 M,$30 M,1,,AI Agents,—,"Feb 25, 2025",0,https://icodrops.com/strikebit-ai/
ChirpPad,CHPD,IDO on Finceptor,$160 K,$6 M,—,,Social,—,"Feb 24, 2025",0,https://icodrops.com/chirppad/
Zephyr,ZEFY,Public Sale,$679 K,$5.5 M,—,,DeFi,—,"Aug 19, 2024",0,https://icodrops.com/zephyr/
Veritas Protocol,VPT,IDO on Spores,—,$87.22 K,—,,Artificial Intellig…,0.01x,"Feb 22, 2025",0,https://icodrops.com/veritas-protocol/
State 1,GBCK,IDO on Spores,—,$15 M,—,,Blockchain Service,—,"Feb 21, 2025",0,https://icodrops.com/state-1/
SpeedThrone,SPEED,SHO on DAO Maker,—,$10.2 M,—,,Gaming,—,"Feb 16, 2025",0,https://icodrops.com/speedthrone/
Rivalz Network,RIZ,Incentivized Testnet,$14.3 M,$872 K,26,,Infrastructure,0.01x,"Feb 21, 2025",0,https://icodrops.com/rivalz-network/
Kaito,KAITO,Airdrop,$10.8 M,$391.9 M,9,,Artificial Intellig…,—,"Feb 20, 2025",0,https://icodrops.com/kaito/
Nil,,ICM on Legion,$600 K,—,—,,Layer2,—,"Feb 13, 2025",0,https://icodrops.com/nil/
Kinto,,IDO on Kinto,$25 M,$60.56 K,8,,Blockchain,0.01x,"Feb 18, 2025",0,https://icodrops.com/kinto/
Pindora,LUCIA,IDO on Paid Network,$473.75 K,$5 M,—,,Artificial Intellig…,—,"Feb 17, 2025",0,https://icodrops.com/pindora/
Drift Zone,DT,IDO on GameFi,$190 K,—,,,Gaming,—,"Feb 18, 2025",0,https://icodrops.com/drift-zone/
Forkast,CGX,IDO on Ronin,—,—,—,,Gaming,—,"Feb 17, 2025",0,https://icodrops.com/forkast/
Olivia AI,OLIVIA,IDO on Launchpool,—,—,—,,AI Agents,—,"Feb 17, 2025",0,https://icodrops.com/olivia-ai/
Scroll,SCR,Points Farming,$83 M,$42.06 M,7,,Blockchain,0.04x,"Sep 17, 2023",0,https://icodrops.com/scroll/
Betarena,BTA,Public Presale,—,$21 M,—,,Sports,—,"Oct 21, 2024",0,https://icodrops.com/betarena/
XO,XOXO,IDO on Polkastarter,—,$15 M,,,Social,—,"Feb 13, 2025",0,https://icodrops.com/xo/
DIN (Previously Web3Go),,Airdrop,$8 M,$2.16 M,9,,Artificial Intellig…,0.02x,"Dec 28, 2023",0,https://icodrops.com/din/
Pandana,PNDN,Presale,$1.8 M,$5 M,—,,Memecoin,—,"Nov 4, 2024",0,https://icodrops.com/pandana/
Mind AI,MA,IDO on Seedify,$1.3 M,$93.6 K,16,,Blockchain Service,0.02x,"Feb 10, 2025",0,https://icodrops.com/mind-ai-2/
Solayer,LAYER,Airdrop,$22.5 M,$78.74 M,24,,Liquid Staking Prot…,0.22x,"Feb 11, 2025",0,https://icodrops.com/solayer/
Analog,ANALOG,Launchpool on Bitget,$36 M,$530.16 K,17,1,Infrastructure,0.01x,"Feb 6, 2025",0,https://icodrops.com/analog/
BearCage,BEAR,Community Sale,—,$6 M,—,,Memecoin,—,"Feb 6, 2025",0,https://icodrops.com/bearcage/
Wagmipad,WAGMI,IDO on Finceptor,—,$8.8 M,—,,Launchpad,—,"Feb 6, 2025",0,https://icodrops.com/wagmipad/
Haven1,H1,Public Sale,$4.6 M,$148.36 K,5,,Blockchain,—,"Feb 4, 2025",0,https://icodrops.com/haven1/
Etaku AI,EKU,IDO on Poolz,—,$6.3 M,—,,Artificial Intellig…,—,"Feb 7, 2025",0,https://icodrops.com/etaku-ai/
Zesh AI Layer,ZAI,IDO on Polkastarter,$505 K,$6 M,1,,Artificial Intellig…,—,"Feb 7, 2025",0,https://icodrops.com/zesh-ai-layer/
Hivello,HVLO,IDO on Hyperxpad,$2.5 M,$845.76 K,13,,DePIN,0.02x,"Feb 5, 2025",0,https://icodrops.com/hivello/
Berachain,BERA,Airdrop,$211 M,$232.7 M,22,,Blockchain,0.02x,"Jan 22, 2025",0,https://icodrops.com/berachain/
AikaVerse,AIKA,IDO on Seedify,—,$4.4 M,—,,Blockchain Service,—,"Feb 3, 2025",0,https://icodrops.com/aikaverse/
Metaverse HQ,HQ,GemPool on Kucoin,—,—,—,,Blockchain Service,—,"Feb 3, 2025",0,https://icodrops.com/metaverse-hq/
Silencio,,GemPool on Kucoin,$4.8 M,$4.63 M,5,,Blockchain Service,0.08x,"Jan 31, 2025",0,https://icodrops.com/silencio/
Giza,,ICM on Legion,$9.7 M,$18.33 M,18,,Blockchain Service,—,"Jan 29, 2025",0,https://icodrops.com/giza/
Nexus Interactive,NXI,IDO on Alphamind,$2 M,—,10,,Gaming,—,"Jan 28, 2025",0,https://icodrops.com/nexus-interactive/
Story Protocol,IP,Testnet,$216.3 M,$623.59 M,18,,Blockchain,0.26x,"Aug 1, 2024",0,https://icodrops.com/story-protocol/
Ninja Blaze,NBZ,Token Sale,—,$15 M,—,,GameFi,—,"Jan 23, 2025",0,https://icodrops.com/ninja-blaze/
